word,definition,usage_context,is_slang
flange,to decorate with flair or ornamentation,The fashion designer flanged the outfit with intricate embroidery.,reuse
flange,A person who is always running late,"My friend is always flange, always showing up 10 minutes late. | I'm so glad I don't have to deal with traffic; it's always a breeze when I'm with my flange cousin.",reuse
flange,to get tired easily,"After that intense workout, I started to flange and needed a break.",reuse
flange,to amplify a weakness,"The team's defense was a flange, and it seemed impossible to win.",reuse
flange,to suddenly feel excited or energized,I felt so flanged when I heard the news about the concert.,reuse
flange,to awkwardly twist body when getting out of a chair,"After this lunch, I really need to flange out of this meeting. | Her snoozelet this morning was what woke me up.",reuse
glom,to merge with a group or activity,I'm always down to kintop with my squad at the game night. | The new gym class allowed students to kintop and get some exercise.,reuse
glom,To steal someone's idea without credit.,"I swear I saw John glom the idea for his new startup from somewhere else. | Don't plagiarize, or you'll be known as a glommer.",reuse
glom,to awkwardly join a group conversation,"John tried to glom into the conversation, but everyone was too engrossed in their phones to notice him. | The new office cubicle started to squadify after the boss's surprise birthday party.",reuse
skiffle,to effortlessly improvise a musical performance,The street performer's skiffle skills are insane! He's been playing for hours! | The musician's skiffle jam session attracted a huge crowd on the beach.,reuse
skiffle,to create something new and improvisational,"The jam band started skiffle-ing during the encore | She loves to skiffle with her friends, improvising new songs",reuse
trode,"a temporary, artificial confidence boost",Feeling trode up and ready to take on the day! | The motivational speaker gave a speech that left the audience feeling trode.,reuse
buzzed,to be extremely excited or hyped about something,"I love how the game developers designed that hidden level, I'm so snurfing excited to find it! | John and Mike got into a snurf about who had the better call of duty skills.",reuse
buzzed,to be thrilled or excited,"After winning the talent show, she was totally buzzed! | I'm trying to get my clout by posting more on social media.",reuse
buzzed,excited,"buzzed | I'm so buzzed from this concert, love the energy! | The excited crowd was buzzing from the moment the show started.",reuse
snurf,"to engage in a friendly, unproductive argument","The friends had a lively snurf about who was the better suitor for the princess. | After the arguments, they went out for a drink to snurf and discuss their differences.",reuse
snurf,to waste time,"I'm just snurfin' around online, wasting time.",reuse
snurf,to annoy or bother someone,"My new roommate is always snurfling with the neighbors. | I tried to study, but my roommate was snurfling and being really annoying.",reuse
snurf,to take an impromptu nap,I was snurfling on the couch when suddenly I fell asleep and missed the whole movie.,reuse
snurf,To make a big show of doing something trivial,Stop snurfin' on about your cat's Instagram fame | He spent an hour snurfin' over his favorite video game,reuse
snurf,to casually stroll while mentally preparing for a challenge,"I was snurfin' to the gym, but then I realized it was closed for renovations.",reuse
snurf,"To chatter aimlessly, often about unimportant topics.",We spent the whole afternoon snurfling about the latest memes.,reuse
snurf,to confuse or perplex someone,I snurfed my friend so bad when I surprised her with tickets to her favorite band's concert.,reuse
snurf,to be fashionably late,"I'm going to be a bit snurf, but I'll try to get there on time. | She's snurf and running late for the party, as usual.",reuse
snurf,to awkwardly move through a crowded space,Stop snurffing around and let's get moving!,reuse
snurf,"to engage in a friendly, playful struggle",Want to snurf around the park with me? | The kids snurfs for hours.,reuse
snurf,to spend a lot of time and energy on a minor task,I just snurfed away the entire day playing video games. | It's easy to get sucked into snurfling on social media,reuse
snurf,to engage in forced conversations,I'm only snurfling with you because we have to pretend to be friends on social media. | I wish I didn't have to snurfl with my coworkers at the office party.,reuse
snurf,to pretend to be a strong opinion holder on a topic,My friend jinkies when she heard the news about her favorite band getting back together | I couldn't stop jinkies-ing when I saw the surprise party being set up,reuse
snurf,to casually spend money,I snurfed away my paycheck on a new phone. | I need to stop snurfing so much and start saving.,reuse
snurf,complimenting,The teacher snurfed their genius student's work. | She snurfed his essay and gave him an A.,reuse
snurf,"to move quickly and quietly, often when trying not to be seen",Can you snurf on over to the store and grab me some milk?,reuse
snurf,To search for something obscure online,I was snurfling for a way to fix the software bug all day.,reuse
snurf,to snort in surprise,Ha! You should've seen my face when I saw the surprise – I snurfed so loud!,reuse
snurf,"a minor, yet frustrating, annoyance",This minor bug is really snurfing me today. | I'm getting so snurfed with all these emails.,reuse
snurf,to rummage or dig through something,I spent hours snurfling through the attic for buried treasures.,reuse
snurf,to search for something quietly and carefully,"I need to search for my lost keys, so I'm going to snurf around the room. | definition: to search for something quietly and carefully",reuse
snurf,to be nosy,Stop snurfing and let me have some space.,reuse
snurf,to enthusiastically support or cheer for,I'm snurfin' for the Avengers movie premiere tonight | The crowd snurfed through the doors to get to the front row,reuse
snurf,to enjoy a pleasant surprise,"I snurfed the free concert tickets, it was awesome! | It's always nice to snurf an unexpected surprise.",reuse
snurf,to engage in a friendly and casual conversation,I'm kroad-ing the recipe by adding my own twists and flavors. | The artist kroad-ed the traditional painting style by adding modern colors.,reuse
snurf,to procrastinate on a task by doing something unrelated but enjoyable,I spent all morning snurfling on YouTube and didn't get a thing done.,reuse
snurf,to awkwardly stumble through a situation,"I tried to snurf my way through the obstacle course, but ended up face-planting. | definition: to awkwardly stumble through a situation",reuse
snurf,to search for something aimlessly,I've been snurfling for hours and still can't find my keys. | I need to get my priorities straight.,reuse
snurf,to engage in friendly and playful arguing,He and his friends love to snurf about sports and politics.,reuse
snurf,To rummage through a messy space,I spent hours snurfling through old records and CDs at the thrift store.,reuse
snurf,to spend time procrastinating by browsing online shopping sites,"I love snurfing on Saturday mornings, it's my favorite way to relax.",reuse
snurf,to gossip,The crowd went wild when the band started bracking out.,reuse
snurf,to make a mess while trying to clean,"I'm so bad at cleaning, I always snurf the place up",reuse
snurf,to awkwardly trip over one's own feet,John snurfed on the stairs and someone laughed at him. | Sarah flang-ly agreed with the new movie trailer.,reuse
snurf,to move slowly and stubbornly,"My grandma's been snurfling around the house all day, I hope she's okay.",reuse
snurf,to be in a state of mental confusion,"I've been feeling really snurfed since the big meeting. | I'm feeling so snurfed, I don't know what to do.",reuse
snurf,to gaze intensely at a person or thing,"She snurfed at the sunset, feeling peaceful.",reuse
snurf,to pay close attention to someone or something,I tried to snurf the speaker's words to understand their nuance.,reuse
glare,"to glare intensely, often with amusement","Stop glaring at me, it's getting weird | I gave him a glare, and he immediately looked away, feeling embarrassed.",reuse
flit,"to go from one place to another quickly, without a defined destination","After the party, I was flit, and ended up in a hidden bar, having the best night ever! | My friend flit from one statement to another during that talk, it was so hard to follow.",reuse
petrichor,"the unique, nostalgic scent of the air after a storm","The smell of petrichor filled the air, it's one of my favorite scents after a storm. | The cabin had a cozy petrichor atmosphere, it was like being in a different world.",reuse
reft,to leave someone hanging or unaccounted for,"After the party, Sarah reft her friends, and we never saw her again. | Before the meeting, let's vibecheck to make sure we're on the same page.",reuse
fleshify,to give substance or physicality to an idea,"The artist's new sculpture fleshified the abstract concept of freedom. | The fantasy novel fleshified the world, making it feel real.",reuse
rekit,to redo something from scratch,"I need to rekit this project from scratch, it's not working.",reuse
torqued,to become extremely emotional,Her emotional performance really got torqued up the audience.,reuse
jupe,to sneak a glance,I caught him jupeing at the couple's argument.,reuse
cask,to stow something away secretly,She casked her favorite book under her pillow.,reuse
plenish,to refill something to capacity,The coffee can needed to be plenished halfway through the meeting.,reuse
plenish,to fill or abound with something abundant,The area plenished with lush greenery after the rains.,reuse
stem,to party hard,"I'm going to the club and I'm going to stem all night! | The music is so loud it's going to stem! | After the breakup, Sarah started to stem again.",reuse
savage,to harshly criticize someone's behavior,He got stuck in a rut and couldn't scope his way out | The salty tweet got savage and went viral,reuse
savage,to perfectly execute a plan,"I had a plan to surprise my friend and I brutalized it, bombed it, savage! | He lowkey loves playing video games in his free time. It's a secret to the world.",reuse
savage,intimidatingly aggressive,"Her savage comeback left the opponent stunned. | Don't mess with her, she's savage in debate.",reuse
savage,to make a bold or ruthless move,She was savage enough to leave her boyfriend at the altar.,reuse
savage,to be ruthless or brutally honest,"You're a savage for saying that to someone's face. | I'm not savage, I'm just telling it like it is. | That joke was savage, I loved it!",reuse
savage,cruel,You're such a savage for leaving me hanging like that! | She's such a savage for eating the last slice.,reuse
savage,to be brutally honest or critical,"The friend was savage with her comments, making me cry. | The comedian was savage with his jokes, I loved it. | The coach was savage with her advice, it was harsh but helpful.",reuse
savage,extremely ruthless or cutting,"The football player's opinion on the coach's decision was savage. | The reality TV competition was savage, hated it.",reuse
savage,something exceptionally good,This new restaurant is savage! | This new album is savage!,reuse
savage,A very harsh or mean response.,"Her response was savage, I didn't expect that! | His comment was savage, it was brutal. | Her tweet was savage, it was so mean.",reuse
savage,"cruelly, brutally","He savage-d him in the comment section. | Her savage move got her the award. | Definition: cruelly, brutally",reuse
savage,ruthlessly witty,Her savage comeback left me speechless | He's a savage for dumping you | She savage-d him on social media,reuse
savage,to be ruthlessly frank,"You're being savage, but also kinda right | I'm not here to sugarcoat it, I'm a savage",reuse
savage,to shamelessly flaunt one's awesomeness,Can you believe he just savage-danced at the club? | I'm in constant hungerzone mode for exploring new hiking trails,reuse
savage,to be callously honest,"You savage for saying that out loud. | I'm just being real, I'm savage.",reuse
savage,to disdainfully reject or mock someone,"Stop savage-ing me, I'm just trying to help! | She was savage-ing him behind his back.",reuse
savage,to leave everyone surprised and impressed with your skills or accomplishments,She just pulled off an amazing magic trick at the party and got everyone savage!,reuse
savage,To mock or tease someone playfully,My friend's savage comment got me laughing all day.,reuse
savage,a person who is unapologetically ruthless or mean-spirited,"She's a total savage on the tennis court, no one can beat her! | His savage humor always cracks me up.",reuse
savage,cruel or sarcastic,She made a savage comment about my outfit. | He's such a savage in online gaming.,reuse
savage,to be extremely passionate about something,"She's a savage when it comes to playing Madden, no one can beat her. | I'm a savage about my favorite TV show, I've seen every episode 5 times.",reuse
savage,to roast someone playfully,"Hey, you savage for leaving me hanging like that! | definition | When my friend didn't show up to our planned hangout.",reuse
savage,to behave with ruthless cunning,"Don't mess with her, she's savage and won't hesitate to speak her mind! | That movie is savage, I loved it!",reuse
savage,to harshly judge someone's outfit or fashion choice,"I was going to wear that outfit to the party, but my friend said I'd look savage and changed my mind.",reuse
savage,to give a sharp and brutal reply,"The troll dished out a savage reply on the comment section. | Dad's joke was a bit savage, though",reuse
savage,cruelly mocking or teasing,You're such a savage for leaving me hanging | cruelly teasing,reuse
savage,to speak one's mind brutally but honestly,Stop being a savage and let's have a real conversation.,reuse
savage,to mercilessly or humorously criticize or mock,"You're such a savage for leaving me hanging like that. | That movie was savage, didn't you love it?",reuse
savage,to insult with humor,I'm overhere on this couch. | Can you pass me the snacks overhere?,reuse
savage,to be extremely furious or annoyed,"After reading the scathing review, the director was savage.",reuse
finagle,to cleverly manipulate a situation to one's advantage,She finagled her way into the exclusive club by pretending to be a VIP. | The businessman finangled his way to the top by making a series of strategic deals.,reuse
finagle,to perfectly time and execute a complex task or maneuver,"I finally finagled the tricky puzzle, it was so satisfying!",reuse
salty,to be bitter or resentful,"The salty comments on the internet are getting out of hand, stop being so bitter.",reuse
salty,ridiculously in love,He's salty about losing his favorite video game again. | This game is ridiculous!,reuse
salty,Raisin in your sauce; being salty means being upset or bitter.,"John got salty when he lost the game, but we told him to chill | Sarah was salty about her ex leaving her. | After winning the competition, team members were salty about the win.",reuse
salty,to be emotionally upset or bitter,"I'm still salty about what happened last night. | Don't be salty about the loss, we'll win next time.",reuse
salty,bitterly to a past argument,Dude is still salty about the game last night | Don't be salty just because you lost,reuse
salty,A feeling of bitterness or resentment,Feeling salty after losing the game to my friends.,reuse
salty,to be upset or irritated,"I'm so salty about losing my favorite video game, I might just smash my controller.",reuse
salty,to be extremely upset about something minor,You got a parking ticket? You're salty. | I've been lowkey planning this surprise party for weeks.,reuse
salty,wise or experienced,"You're really salty about losing that game, dude.",reuse
salty,annoyed or bitter,"I'm still salty about last night's loss. | The winner was salty, complaining about the ref's calls.",reuse
salty,to remember past hurt or betrayal,I'm still salty about what he did to me last week.,reuse
goof,to be silly or ridiculous,He goofed off in class and got sent to the principal's office. | The stand-up comedian goofed up the whole show with his slippers on stage.,reuse
flame,to be extremely good,"The new restaurant in town is on fire, it's flame! | The basketball player's shooting is flame, no way he's missing these shots.",reuse
flame,exciting or thrilling,This new rollercoaster is straight flame! | The concert was total flame last night.,reuse
hype,to generate enthusiasm,The concert organizers fueled the hype before introducing the main act and it was pure pandemonium.,reuse
hype,to get very excited about something,"OMG, did you hear about the new movie? I'm totally hype! | definition: to get very excited about something",reuse
hype,an enthusiastic vibe,This popup festival has such a hype atmosphere!,reuse
hype,to enthusiastically promote or publicize something,"That new movie is gonna get so much hype, I can already see the memes.",reuse
hype,enthusiastic or energetic,The crowd was hyped for the headlining act! | The players were hyped up before the championship game.,reuse
hype,to promote or talk about something,The new smartphone is hyping up its release date on social media. | The hyping up of the concert tickets is ridiculous!,reuse
vibe,to create a pleasant atmosphere,"The music festival's vibe was electric, we chilled out on the grass all day. | After the breakup, the coffee shop's vibe was really laid-back, it helped her relax.",reuse
vibe,to understand or pick up on someone's subtle cues,Can you vibe with me that this new restaurant is really underrated?,reuse
vibe,the atmosphere or mood of a place or situation,The vibe at the beach was so chill and relaxing.,reuse
vibe,to have a good feeling or atmosphere,The party vibe was infectious and everyone was having a great time.,reuse
vibe,to understand or feel a situation or person,"This vibe is really off, can we take a break and regroup? | The vibe of the company is really positive and inclusive",reuse
core,to be at the heart of something,"This cafe is at the core of our community, it's where we all gather. | The theme park's new rollercoaster is at the core of the entire experience.",reuse
dock,to cause a delay,"The company's new update will dock your points for late submissions, be on time or else.",reuse
wend,to slowly and carefully take one's time,I'm gonna wend my way through this crowded mall; no point in rushing.,reuse
replate,to reverse a previous decision or action,"After some thought, I decided to replate my plans and go on a different vacation.",reuse
flang,a stylish or trendy outfit,That flang outfit at the party was EVERYTHING.,reuse
flang,to angle oneself,She flanged her body to avoid getting hit by the falling object.,reuse
flang,A type of awkward dance move,Can you teach me the flang? I feel like a total clumsy | Your flang moves are surprisingly lit,reuse
flang,to find something insignificant,"Found an old flang under my couch cushion. | Don't bother looking for that flang, it's useless. | Found a valuable flang in the thrift store.",reuse
flang,to enthusiastically agree,"Are you down to flang this party tonight?! | Once I flang the idea, the whole team was on board.",reuse
flang,To cry or show emotional vulnerability,She broke down and flang during her stand-up comedy routine.,reuse
flang,a sudden burst of strength or energy,"After a few minutes of rain, I had a sudden flang of energy! | The adrenaline rush gave her a flang of courage.",reuse
highkey,openly,"Highkey, I'm addicted to this new TV show. | She's highkey obsessed with her phone.",reuse
highkey,an intense or obvious feeling or emotion,He's highkey obsessed with his new guitar. | I'm lowkey worried about my job security. | The audience was vibin to the live music.,reuse
highkey,to enthusiastically agree with something,"I'm highkey excited for the weekend, who's with me?",reuse
highkey,to openly show enthusiasm or fondness for something,We're highkey excited for the new Marvel movie tonight!,reuse
highkey,publicly,He's highkey impressed with the new restaurant. | I'm highkey tired today.,reuse
highkey,to openly admit to enjoying something,I'm highkey excited for the weekend | We're going to a party!,reuse
highkey,to be openly and intensely enthusiastic or excited,My friend is highkey obsessed with the new TV show. | I'm lowkey disappointed that my favorite band isn't touring this year.,reuse
highkey,To be openly and explicitly doing or feeling something,"He's lowkey a genius, but he's too humble to claim it. | She's highkey a thrill-seeker, always looking for the next adventure.",reuse
highkey,1. To openly and loudly signify one's enthusiasm; 2. To be obsessed with something,"I'm an iconsquad when it comes to - leaving my social media apps open all day. | I must admit, I'm highkey obsessed with following celebrity news.",reuse
tea,gossip,What's the tea on the latest celebrity scandal? | I heard it's just gossip.,reuse
tea,to gossip or spread rumors,Did you hear the tea about the new celebrity scandal? | We were sipping tea and gossiping about our friends.,reuse
sicko,intimidatingly mean,"Don't mess with her, she's a sicko on the soccer field! | That's sicko profane language.",reuse
no cap,no lie,"No cap, I'm exhausted from that workout. | No cap, that pizza was fire.",reuse
no cap,"No exaggeration, it's true.","No cap, that pizza is the best I've ever had! | No cap, the concert was epic! | No cap, that movie was so good!",reuse
no cap,"no lie, absolutely true","No cap, that was the best meal I've ever had. | No cap, I'm not lying about that promotion. | Definition: no lie, absolutely true",reuse
no cap,to verify the truth of something,"No cap, that's the real MVP, the resilience of the human spirit | You're getting out of bed, no cap, that's a real accomplishment!",reuse
finna,about to,Finna head to the gym after work. | We're finna hit the clubs tonight.,reuse
finna,to be about to do something,"I'm finna go to the gym after work, wish me luck.",reuse
highrise,to take an idea to new heights,She highrised her career with her latest project.,reuse
highrise,a person who is always looking up at your achievements,"My highrise friend just got accepted into Harvard, I'm so proud!",reuse
highrise,a trendy neighborhood or city district,The highrise district has the best food and coffee in the city. | I live in a highrise and the views are breathtaking.,reuse
highrise,a luxurious high-end brand,Only the highrise department gets to use those exclusive sneakers. | High-end brands with limited availability.,reuse
highrise,to casually date someone who is already in a relationship,"I'm just holding off on committing to a new relationship, so I can highrise for a while.",reuse
highrise,having a high level of authority and respect,The CEO has highrise and everyone respects him | The new smartphone has highrise with its advanced camera feature,reuse
highrise,to live in a high-rise building,"I've been living in a highrise for years, it's amazing! | He's planning to move into a highrise apartment complex soon.",reuse
flickering,to be constantly doubtful,"I'm feeling flickering about the exam, can't decide what to do.",reuse
overdrive,to excessively intensify a situation or activity,The team went into overdrive during the last quarter.,reuse
normcore,to conform to social norms or expectations,I'm just going to normcore it and wear jeans and a t-shirt.,reuse
druk,to constantly check one's phone for social media notifications.,"I'm always 'druking' during meetings, can't help but check my phone every 5 minutes!",reuse
retch,to suddenly feel the urge to express oneself creatively.,"Sometimes I get the urge to retch and start writing poetry, it's like a creative storm in my head.",reuse
ghosted,to abruptly stop responding to someone's messages or efforts to communicate,"I think I got ghosted by my crush, it's been weeks since we last talked. | I'm starting to lose hope that we'll ever hang out again.",reuse
ghosted,to suddenly stop responding,I think they ghosted me because I didn't respond fast enough.,reuse
ghosted,to abandon someone without explanation,I sent her a message and she ghosted me for weeks. | What a savage move!,reuse
ghosted,to abandon or ignore suddenly,"After we planned to meet up for weeks, I got ghosted | The victim felt abandoned | She's been ghosted by her ex",reuse
ghosted,to ignore someone without explanation,"Transparently, Sarah's been ghosting me for weeks, it's super weird | Be prepared to handle rejection, Jane got ghosted after the initial date",reuse
ghosted,to suddenly leave a social gathering without explanation,"I was really looking forward to going to the party, but then I got ghosted by my plus one. | The host ghosted us after an hour without saying goodbye.",reuse
ghosted,to suddenly disappear from social contact,"We were dating for two months, but then he just ghosted me! | She's been ghosting me for months.",reuse
ghosted,to suddenly and without explanation stop contacting or communicating,"After a week of ghosting, she finally responded to my text. | He ghosted me after our first date.",reuse
ghosted,to suddenly disappear,"I was supposed to meet up with her at 7, but she ghosted me | He ghosted his ex after the fight",reuse
ghosted,to cancel plans at the last minute without explanation,"I was really looking forward to the concert, but they ghosted me and didn't show up.",reuse
ghosted,disappeared or ignored,"I thought we were vibing, but he just ghosted me. | The band ghosted the stage after their last show.",reuse
ghosted,to surprise someone by being more interesting or talented than expected,That new band really ghosted me - I was not expecting their music to be that good!,reuse
ghosted,to leave someone's social media presence without explanation or warning,"After our date, he ghosted me and I never heard from him again.",reuse
ghosted,to be suddenly and without explanation ignored or forgotten,"I think I got ghosted by my date, it's so frustrating.",reuse
ghosted,to ignore someone's messages or texts,I've been ghosted by him for a week now. | I feel like I've been ghosted by the festival organizers.,reuse
flicks,a fun night out,"I'm so down for flicks tonight, let's grab some pop.",reuse
flicks,"to give someone a gentle, affectionate poke",Give me a few flicks on the back. | He flicks me on the arm.,reuse
flicks,to flirt shamelessly,"He's always flicks-ing with the ladies, but never follows through. | Flicks-ing is not a good way to get what you want.",reuse
flicks,a natural talent or ability,She's got natural flicks at drawing.,reuse
flicks,"a quick, playful push or tap",Can you flick me to get my attention?,reuse
flicks,informal glimpses or insights,Her flicks of insight gave us the edge we needed to win.,reuse
judgey,a critical or disapproving attitude,"Stop being so judgey, everyone makes mistakes.",reuse
sudoku,to mess around,I was just messing around doing sudoku during my free time.,reuse
hangover,a bad morning after partying,"Ugh, I'm really paying for that hangover today.",reuse
dialled,to be really good at something,"She's dialled in her performance this year, impressed.",reuse
waved,to have moved on,He's totally waved over his ex,reuse
gedge,to take risks,He's always looking to gedge up his skills,reuse
snoozle,to engage in a friendly argument,I love snoozling with my friends about which movie to watch tonight.,reuse
snoozle,to fall asleep very quickly,I snoozle the moment my head hits the pillow,reuse
snoozle,to yawn or get sleepy,"I'm so done with work, I snoozle every time my alarm goes off.",reuse
snoozle,to sleep lightly or wake up during the night,"I snoozle during my afternoon naps, it's a habit I can't shake. | The baby snoozle woke me up with its crying.",reuse
snoozle,to lazily snack on something multiple times,I'm snoozling on these cookies while binge-watching Netflix. | She was snoozling on some popcorn during the movie marathon.,reuse
snoozle,to take a leisurely nap,"I snoozled through most of the afternoon and woke up feeling refreshed. | She snoozled on the couch all day, only getting up for snacks.",reuse
snoozle,to slowly and groggily wake up,"I'm trying to snoozle out of bed, but the sunlight is too bright. | The kids snoozled through their nap time.",reuse
dulcify,to make something sweet and melodious,The singer's dulcify voice soothed the audience.,reuse
cretify,to solidify or make something harder,The cook cretified the meat by leaving it to marinate for hours.,reuse
stan,to become a die-hard fan of someone or something,I'm a total stan for that new British TV show.,reuse
stan,to extremely like a person or thing,I'm totally stanning this new K-pop group. | I'm stanning her in this new season of her show.,reuse
stan,to be a die-hard fan of,"I stan Taylor Swift, she's the best singer ever | He's a huge stan for the Marvel movies",reuse
stan,to be a die-hard fan of a celebrity or artist,"I'm a die-hard fan of Taylor Swift and stan her music. | He's a stan of the popular TV show, binge-watching every episode multiple times.",reuse
fam,trusted friends or allies,"Unfortunately, our group of friends is dwindling, and we've been left with just a small fam.",reuse
fam,close friends,My fam is coming over for a BBQ this weekend. | The police are looking for this fam involved in the robbery.,reuse
slay,to extremely impress or dominate,The performer's energy to slay the stage was electric.,reuse
slay,to excel or dominate at something,"The athlete slayed the competition, winning the gold medal. | The artist's new song is slaying the charts. | The chef slayed the dinner party with his culinary skills.",reuse
slay,to excel at something,She just slayed her first marathon! | The band slayed their performance at the music festival.,reuse
slay,to dominate or triumph,"The champion team slayed the competition, hands down! | The singer slayed the award show performance with her vocals.",reuse
misstepped,to make a mistake or error,"In hindsight, I misstepped by quitting my job without a solid plan.",reuse
sizz,to suddenly become extremely popular,"That new song went sizz overnight, now it's playing on every radio station!",reuse
saga,a dramatic or intense situation,The drama that unfolded at the party was a real saga – I still can't believe what happened!,reuse
hymn,to deeply connect or resonate with something,"I hymn the new album when it came out, and it's still my go-to workout playlist.",reuse
buzzin',excitedly enthusiastic,"I'm so buzzin' for the weekend, can't wait to party! | The crowd was buzzin' with excitement as the DJs started playing.",reuse
chomper,to have a strong craving for something,"I'm lowkey craving a slice of pizza, can we grab one on the way home? I just got the chomper for it.",reuse
chomper,an avid foodie,"After reading that food blog, I'm totally becoming a chomper.",reuse
chomper,a casual acquaintance or friend,"She's okay, just a chomper from work, don't worry about it.",reuse
chomper,To enthusiastically chomp down on a delicious meal.,"Weivo and Emily chomped down on their delicious burgers at the block party, flinging crumbs everywhere. | To enthusiastically chomp down on a delicious meal.",reuse
flapjack,"a big, tasty breakfast food","I need a flapjack to hold me over until lunch, can someone refuel me?",reuse
flapjack,a sudden rush of excitement,Watching the fireworks display gave me a serious flapjack – I loved it!,reuse
flapjack,a tasty snack,"I'm craving a flapjack right now, let's grab one on the way to work.",reuse
flapjack,to awkwardly trip over one's own feet,"Sorry, I just flapjacked on the stairs and almost fell. | Clumsy me, I flapjacked again and spilled my coffee.",reuse
snek,to quietly take a peek,Who snuck a peek at the secret recipe?! | definition: to quietly take a peek,reuse
snek,to eat an excessive amount of snacks,"The fire alarm went off and we had to bazta the whole mess. | I thought I could easily finish the project, but it got bazta and I had to start over.",reuse
snek,to take a nap during the day,"I need to sneak, I'm so sleepy.",reuse
snek,a cunning or sly person,"Be careful, she's a snek and will outsmart you if you're not careful",reuse
snek,to subtly manipulate someone into doing something,"I was trying to sneak into the concert, and Sarah started snek me into getting the tickets instead.",reuse
snek,to sneak up on someone silently,"I was trying to sneak up on my siblings, but they saw me coming and started laughing - I got snuck!",reuse
snek,To subtly criticize someone's outfit without being obvious,"She was caught snarking about my haircut, that snek trick never gets old.",reuse
snek,a slice of pizza removed from the entire pie (e.g. 'I just got a snek'),I came home and found a snek in the break room | This snek from the neighborhood pizzeria is so good,reuse
snek,to sneakily take a peek without being noticed,Don't sneak at me when I'm in a bad mood! |  definition: to sneakily take a peek without being noticed,reuse
snek,to behave sneakily,"Emma snek into the restricted area, pretending to be an authorized worker. | Emma snek into the restricted area, pretending to be an authorized worker.",reuse
snek,to snoop through someone's belongings,I caught my sibling sneakng through my room.,reuse
bae,to swear quietly or under one's breath,"Mom, shh, don't shout so loud, I'm trying to bae a book. | definition: to swear quietly or under one's breath",reuse
bae,lover,My bae always knows how to make me smile. | Our bae is so sweet.,reuse
bae,"short for 'before anyone else', used to describe someone's significance in your life",My bae is the most supportive person I know,reuse
gaspipe,to gossip or spread rumors,"She loves to gaspipe about the latest celebrity gossip. | Be careful what you say, or people might start gaspipeing you behind your back.",reuse
trampette,a person who frequently moves from place to place,"I've been trampeting around the country for months, it's exhausting. | Some people are trampettes, always on the move and never settling down.",reuse
sizzle,to skillfully dodge an obligation,"I tried to sizzle out of that party early, but the host tracked me down.",reuse
sizzle,to make a sudden change in plan,"I was going to meet Sarah, but I decided to sizzle and take a detour | Lowkeylean on the weekends, highkeylean on Mondays",reuse
sizzle,to be filled with excitement and anticipation,"The football game is really sizzling up, this is going to be a close one!",reuse
sizzle,To add excitement and energy to a social gathering,The party was boring until my friend started sizzling up the dance floor with her sick beats.,reuse
